place_id,place_name,region,category,verification_status,request_tier,image_file_name,tourist_name,tourist_name_en,captured_at,latitude,longitude,resolution
jeju_roadview_place_053,서귀포시립기당미술관,서귀포시,indoor,partial,priority_visual_review_sample,GIDANG-2-008,서귀포시립기당미술관,GIDANG,2022-08-31 14:30,33.24504163888889,126.55120555555555,6720*3360
jeju_roadview_place_053,서귀포시립기당미술관,서귀포시,indoor,partial,priority_visual_review_sample,GIDANG-2-011,서귀포시립기당미술관,GIDANG,2022-08-31 14:32,33.24583608333334,126.55160277777777,6720*3360
jeju_roadview_place_104,스누피가든,제주시,other,partial,priority_visual_review_sample,SNOOPYGARDEN-1-001,스누피가든,SNOOPYGARDEN,2022-09-30 11:34,33.44354166666666,126.77831944444445,6720*3360
jeju_roadview_place_104,스누피가든,제주시,other,partial,priority_visual_review_sample,SNOOPYGARDEN-1-034,스누피가든,SNOOPYGARDEN,2022-09-30 13:22,33.44513886111111,126.77932219444445,6720*3360
jeju_roadview_place_104,스누피가든,제주시,other,partial,priority_visual_review_sample,SNOOPYGARDEN-1-068,스누피가든,SNOOPYGARDEN,2022-09-30 13:43,33.44616944444444,126.78075552777777,6720*3360
jeju_roadview_place_104,스누피가든,제주시,other,partial,priority_visual_review_sample,SNOOPYGARDEN-1-101,스누피가든,SNOOPYGARDEN,2022-09-30 14:30,33.44438608333333,126.78012222222222,6720*3360
jeju_roadview_place_104,스누피가든,제주시,other,partial,priority_visual_review_sample,SNOOPYGARDEN-2-005,스누피가든,SNOOPYGARDEN,2022-09-30 11:38,33.444230527777776,126.77839441666667,6720*3360
jeju_roadview_place_104,스누피가든,제주시,other,partial,priority_visual_review_sample,SNOOPYGARDEN-2-038,스누피가든,SNOOPYGARDEN,2022-09-30 12:18,33.44411944444444,126.77850275,6720*3360
jeju_roadview_4_3_001,제주4.3평화공원,제주시,rest_area,partial,priority_visual_review_sample,JEJU43PA-1-001,제주4.3평화공원,JEJU43PA,2022-07-28 09:34,33.453294444444445,126.619175,6720*3360
jeju_roadview_4_3_001,제주4.3평화공원,제주시,rest_area,partial,priority_visual_review_sample,JEJU43PA-1-026,제주4.3평화공원,JEJU43PA,2022-07-28 12:16,33.45142219444445,126.61734722222222,6720*3360
jeju_roadview_4_3_001,제주4.3평화공원,제주시,rest_area,partial,priority_visual_review_sample,JEJU43PA-1-044,제주4.3평화공원,JEJU43PA,2022-07-28 12:56,33.45013330555556,126.61825277777777,6720*3360
jeju_roadview_4_3_001,제주4.3평화공원,제주시,rest_area,partial,priority_visual_review_sample,JEJU43PA-3-012,제주4.3평화공원,JEJU43PA,2022-07-15 11:27,33.45102775,126.62089166666667,6720*3360
jeju_roadview_4_3_001,제주4.3평화공원,제주시,rest_area,partial,priority_visual_review_sample,JEJU43PA-3-037,제주4.3평화공원,JEJU43PA,2022-07-28 10:54,33.45084722222222,126.62072222222221,6720*3360
jeju_roadview_4_3_001,제주4.3평화공원,제주시,rest_area,partial,priority_visual_review_sample,JEJU43PA-3-057,제주4.3평화공원,JEJU43PA,2022-07-28 11:03,33.450988861111114,126.62069722222222,6720*3360
jeju_roadview_place_066,제주고산리유적,제주시,culture,partial,priority_visual_review_sample,GOSANRIRUINS-1-001,제주고산리유적,GOSANRIRUINS,2022-09-14 13:27,33.30433052777777,126.16620277777778,6720*3360
jeju_roadview_place_066,제주고산리유적,제주시,culture,partial,priority_visual_review_sample,GOSANRIRUINS-1-004,제주고산리유적,GOSANRIRUINS,2022-09-14 13:27,33.30427497222222,126.16627775,6720*3360
jeju_roadview_place_066,제주고산리유적,제주시,culture,partial,priority_visual_review_sample,GOSANRIRUINS-1-007,제주고산리유적,GOSANRIRUINS,2022-09-14 13:29,33.30407497222222,126.16636386111112,6720*3360
jeju_roadview_place_066,제주고산리유적,제주시,culture,partial,priority_visual_review_sample,GOSANRIRUINS-2-003,제주고산리유적,GOSANRIRUINS,2022-09-14 13:28,33.304058,126.16622500000001,6720*3360
jeju_roadview_place_066,제주고산리유적,제주시,culture,partial,priority_visual_review_sample,GOSANRIRUINS-2-006,제주고산리유적,GOSANRIRUINS,2022-09-14 13:29,33.304049,126.16627700000001,6720*3360
jeju_roadview_place_066,제주고산리유적,제주시,culture,partial,priority_visual_review_sample,GOSANRIRUINS-3-001,제주고산리유적,GOSANRIRUINS,2022-09-14 13:30,33.30393052777777,126.16648886111112,6720*3360
jeju_roadview_place_014,제주교육박물관,제주시,indoor,partial,priority_visual_review_sample,EDUMU-1-001,제주교육박물관,EDUMU,2022-08-09 13:27,33.49446941666667,126.537675,6720*3360
jeju_roadview_place_014,제주교육박물관,제주시,indoor,partial,priority_visual_review_sample,EDUMU-1-009,제주교육박물관,EDUMU,2022-08-09 13:56,33.49409444444444,126.53816111111111,6720*3360
jeju_roadview_place_014,제주교육박물관,제주시,indoor,partial,priority_visual_review_sample,EDUMU-2-007,제주교육박물관,EDUMU,2022-08-09 13:35,33.49463611111111,126.53793611111111,6720*3360
